ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
62,A 62,445682.338,7658350.452,16757962,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 62,39,4,1323767,A 63,NE,5; 6,null,>300m,TRUE,within shouting distance,unfavourable,18,<1m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,62
63,A 63,445091.636,7658710.602,16551867,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 63,5,5,1323767,A 62,S,3; 4; 5; 6,null,>300m,TRUE,within shouting distance,unfavourable,5,>15m,marginal,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,63
64,A 64,449249.976,7657769.248,19929584,Amis,,Toiwo,01.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 64,16,5,59688,H 71,SE; NW,1; 7; 12,null,>300m,null,adjacent,± vertical rock,4,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,64
65,A 65,447421.046,7657354.057,13722936,Amis,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 65,6,5,1001964,A 4,SW,1,null,<300m,TRUE,within shouting distance,± vertical rock,1,<15m,marginal,NA,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,65
66,A 66,447750.707,7657641.596,14732355,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 66,11,5,3154121,A 65,N; SW,5; 6,null,<300m,null,within shouting distance,spacious,33,<3m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,66
67,B 1,461593.001,7658028.043,16094935,Sesaub / Basswaldrinne,,Viereck,29.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 1,8,5,12020347,B 4,S,5,null,<300m,null,adjacent,unfavourable,4,<15m,marginal,rather nice,European; Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,67
68,B 2,462045.244,7657600.184,11453821,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 2,35,4,135322,B 3,S,1,null,>300m,TRUE,adjacent,unfavourable,3,>15m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,68
69,B 3,462405.886,7657291.689,11574396,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 3,14,5,135322,B 2,E; W,5; 6; 8,null,>300m,TRUE,adjacent,unfavourable,9,<15m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,69
69,B 3,462405.886,7657291.689,11574396,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 3,14,5,135322,B 2,E; W,5; 6; 8,null,>300m,TRUE,adjacent,unfavourable,9,<15m,marginal,poor,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,,69
70,B 4,462955.422,7657552.851,12856968,Sesaub / Basswaldrinne,,Matheus,08.05.1984,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 4,85,3,1761149,B 9,SE,1; 5; 7; 12,TRUE,adjacent,TRUE,adjacent,unfavourable; ± vertical rock,8,<15m,central,magnificent,European; Pager's Camp,disintegration of rock,many,NA,NA,NA,NA,NA,NA,NA,NA,,70
70,B 4,462955.422,7657552.851,12856968,Sesaub / Basswaldrinne,,Matheus,08.05.1984,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 4,85,3,1761149,B 9,SE,1; 5; 7; 12,TRUE,adjacent,TRUE,adjacent,unfavourable; ± vertical rock,8,<15m,central,magnificent,European; Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,70
71,B 5,462893.104,7657604.286,1092709,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 5,111,3,613067,B 6,E; S,1; 2; 3; 4; 5; 12,null,<300m,TRUE,adjacent,unfavourable,0,>15m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,71
71,B 5,462893.104,7657604.286,1092709,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 5,111,3,613067,B 6,E; S,1; 2; 3; 4; 5; 12,null,<300m,TRUE,adjacent,unfavourable,0,>15m,marginal,rather nice,none,vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,,71
72,B 6,462436.503,7657260.475,10887046,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 6,26,4,613067,B 5,S,1; 5; 6; 12,null,<300m,TRUE,adjacent,unfavourable,4,<1m; <15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,72
73,B 7,462460.100,7657347.375,10966357,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 7,28,4,628281,B 6,S,1; 5; 6; 8; 12,null,<300m,null,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,73
74,B 8,460036.193,7657304.756,20409318,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 8,40,4,391986,O 20,NE,5; 6; 8; 9; 10; 11,null,>300m,TRUE,within shouting distance,spacious,5,<3m,isolated,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,74
75,B 9,462199.966,7657275.140,12426226,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 9,65,3,851455,B 10,NE,1; 5; 6; 7; 8; 12,TRUE,<300m,null,<300m,spacious,15,<15m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,75
76,B 10,462060.797,7657720.211,12191706,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 10,138,3,851455,B 9,NE,1; 3; 4; 5; 6; 7; 8; 12,TRUE,<300m,null,within shouting distance,unfavourable,8,<3m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,76
77,C 1,446905.115,7664367.829,21398051,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 1,8,5,3559791,I 71,W,1,null,>300m,null,>300m,± vertical rock,4,>15m,isolated,magnificent,none,none,none,none,none,none,none,none,none,none,none,,77
78,C 2,446395.307,7663121.218,20970501,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 2,81,3,1434784,C 3,NE; NW,1; 4; 5,TRUE,within shouting distance,TRUE,adjacent,unfavourable; ± vertical rock,11,<15m,marginal,NA,none,water run-off,many,many,none,many,none,many,none,none,none,,78
79,C 3,446636.155,7663307.845,20938073,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 3,346,2,50135,C 5,S,3; 4; 5; 8; 12,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,20,>15m,central,rather nice,Pager's Camp,none,few,few,few,none,none,none,none,none,none,,79
80,C 4,445111.971,7663687.569,21052244,Circus,,Paulus,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 4,26,4,2201573,C 3,N,3; 5; 7; 9; 10,null,<300m,TRUE,within shouting distance,spacious,23,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,none,medium quantity,none,medium quantity,none,none,none,,80
81,C 5,446626.249,7663761.837,20894224,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 5,8,5,50135,C 3,S,4; 5,null,within shouting distance,TRUE,adjacent,unfavourable,6,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,81
82,C 6,446758.130,7663038.340,20663146,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 6,13,5,939659,C 5,S,1,null,<300m,TRUE,within shouting distance,± vertical rock,3,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,82
83,C 7,445242.592,7663740.290,18858293,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 7,179,3,2557655,C 8,NE; S; SW,5; 6; 8; 9; 11,null,<300m,TRUE,adjacent,spacious,9,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,many,many,many,many,none,many,none,none,Rillenstein; graues; kreidiges Material,,83
83,C 7,445242.592,7663740.290,18858293,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 7,179,3,2557655,C 8,NE; S; SW,5; 6; 8; 9; 11,null,<300m,TRUE,adjacent,spacious,9,<15m,marginal,rather nice,Fireplace and Pager's Camp,vegetation impact,many,many,many,many,none,many,none,none,Rillenstein; graues; kreidiges Material,,83
84,C 8,445463.750,7664949.252,18715514,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 8,55,4,757206,C 9,SW,3; 4; 5,TRUE,adjacent,TRUE,adjacent,unfavourable,5,>15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,84
84,C 8,445463.750,7664949.252,18715514,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 8,55,4,757206,C 9,SW,3; 4; 5,TRUE,adjacent,TRUE,adjacent,unfavourable,5,>15m,marginal,rather nice,none,vegetation impact,few,few,few,none,none,none,none,none,none,,84
85,C 9,445554.487,7664479.367,18663729,Circus,,Shipahu,20.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 9,20,4,757206,C 8,N,4,TRUE,adjacent,TRUE,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,85
86,C 10,445613.840,7664402.859,18357237,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 10,239,2,7959,C 11,N; E,1; 5; 8; 10; 12,null,<300m,TRUE,adjacent,unfavourable,3,<15m,central,rather nice,none,disintegration of rock,many,many,many,many,none,none,none,none,none,,86
86,C 10,445613.840,7664402.859,18357237,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 10,239,2,7959,C 11,N; E,1; 5; 8; 10; 12,null,<300m,TRUE,adjacent,unfavourable,3,<15m,central,rather nice,none,water run-off,many,many,many,many,none,none,none,none,none,,86
86,C 10,445613.840,7664402.859,18357237,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 10,239,2,7959,C 11,N; E,1; 5; 8; 10; 12,null,<300m,TRUE,adjacent,unfavourable,3,<15m,central,rather nice,none,vegetation impact,many,many,many,many,none,none,none,none,none,,86
87,C 11,445498.435,7664979.327,18340505,Circus,,Roth,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 11,69,3,567022,C 12,N,1; 5; 10,null,<300m,TRUE,within shouting distance,spacious,6,<15m,central,rather nice; magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,,87
87,C 11,445498.435,7664979.327,18340505,Circus,,Roth,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 11,69,3,567022,C 12,N,1; 5; 10,null,<300m,TRUE,within shouting distance,spacious,6,<15m,central,rather nice; magnificent,none,vegetation impact,few,few,few,none,none,none,none,none,none,,87
88,C 12,445936.263,7664547.217,18257481,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 12,141,3,452266,C 13,N,5; 6; 7; 8; 9; 10,null,NA,null,NA,spacious,2,<15m,marginal,rather nice,none,water run-off,many,many,many,none,none,none,none,none,none,,88
88,C 12,445936.263,7664547.217,18257481,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 12,141,3,452266,C 13,N,5; 6; 7; 8; 9; 10,null,NA,null,NA,spacious,2,<15m,marginal,rather nice,none,vegetation impact,many,many,many,none,none,none,none,none,none,,88
89,C 13,445395.946,7664095.224,18188312,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 13,9,5,452266,C 12,NE,5,null,>300m,null,>300m,unfavourable,3,<3m,marginal,poor,none,disintegration of rock,few,few,few,none,none,none,none,none,none,,89
89,C 13,445395.946,7664095.224,18188312,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 13,9,5,452266,C 12,NE,5,null,>300m,null,>300m,unfavourable,3,<3m,marginal,poor,none,water run-off,few,few,few,none,none,none,none,none,none,,89
89,C 13,445395.946,7664095.224,18188312,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 13,9,5,452266,C 12,NE,5,null,>300m,null,>300m,unfavourable,3,<3m,marginal,poor,none,vegetation impact,few,few,few,none,none,none,none,none,none,,89
90,C 14,445034.820,7664418.658,21240157,Circus,,Shipahu,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 14,6,5,985457,C 16,E,1,null,>300m,TRUE,adjacent,± vertical rock,3,<15m,marginal,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,,90
91,C 15,445408.282,7664589.509,20935527,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 15,53,4,1438256,C 14,E; W,1; 12,TRUE,within shouting distance,TRUE,within shouting distance,± vertical rock,5,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,91
92,C 16,445951.928,7664240.152,21163517,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 16,17,5,65703,C 17,SW,5,null,within shouting distance,TRUE,adjacent,unfavourable,11,<15m,marginal,magnificent,Pager's Camp,none,few,few,few,few,none,none,none,none,none,,92
93,C 17,445280.925,7664692.929,20958974,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 17,2,6,65703,C 16,S,4; 5,null,<300m,null,>300m,unfavourable,11,<1m,marginal,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,medium quantity,none,none,none,,93
94,C 18,445471.940,7664411.464,19630541,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 18,1,6,2735861,C 19,N; S,5,null,<300m,null,>300m,spacious,18,<1m,marginal,rather nice,none,water run-off,few,few,few,none,none,few,none,none,none,,94
95,C 19,445968.421,7664458.190,1953198,Circus,,Paulus,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 19,11,5,2437344,C 11,SE,10,null,>300m,null,>300m,spacious,3,<3m,isolated,magnificent,none,water run-off,few,few,none,few,none,few,none,none,none,,95
96,C 20,445717.371,7665220.499,2006013,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 20,206,2,876954,C 21,S; SW,5,TRUE,<300m,null,adjacent,unfavourable,10,<15m,marginal,magnificent,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,,96
96,C 20,445717.371,7665220.499,2006013,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 20,206,2,876954,C 21,S; SW,5,TRUE,<300m,null,adjacent,unfavourable,10,<15m,marginal,magnificent,none,wind erosion,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,,96
97,C 21,445586.645,7665845.831,20050983,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 21,286,2,876954,C 20,S,1; 5; 12,TRUE,<300m,TRUE,adjacent,unfavourable,20,<15m,marginal,magnificent,none,water run-off,many,many,many,none,none,none,none,none,none,,97
98,C 22,444886.213,7665306.813,19718746,Circus,,Shipahu,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 22,72,3,2059255,C 21,S,1; 3; 4; 5; 12,TRUE,within shouting distance,TRUE,adjacent,unfavourable,2,>15m,central,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,,98
99,C 23,444634.839,7665499.616,20027095,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 23,50,4,2499569,C 22,S; W,1; 5; 12,null,<300m,TRUE,adjacent,spacious,32,<15m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,,99
100,C 24,444786.711,7665945.425,19237367,Circus,,Paulus,17.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 24,8,5,2401771,C 25,NE,5,TRUE,adjacent,null,within shouting distance,± vertical rock,0,<1m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,100
101,C 25,444996.874,7665096.261,18944041,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 25,15,5,2063231,C 28,N,5,null,<300m,TRUE,adjacent,unfavourable,12,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,101
102,C 26,444851.807,7665038.199,19381208,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 26,16,5,1744907,C 28,N,1,null,<300m,null,<300m,± vertical rock,8,>15m,marginal,rather nice,Pager's Camp,water run-off,none,none,none,none,none,none,none,none,none,,102
103,C 27,443162.971,7665242.761,19458164,Circus,,Paulus,16.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 27,16,5,1528404,C 28,E,1,null,within shouting distance,null,<300m,± vertical rock,2,<3m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,103
104,C 28,444097.169,7665214.665,19086911,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 28,17,5,1528404,C 27,S,5; 10,null,<300m,null,<300m,spacious,9,<3m,marginal,magnificent,none,none,few,few,none,few,none,none,none,none,none,,104
