ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
63,A 63,445091.636,7658710.602,1655.1867,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 63,5,5,132.3767,A 62,S,3; 4; 5; 6,,>300m,True,within shouting distance,unfavourable,5,>15m,marginal,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
64,A 64,449249.976,7657769.248,1992.9584,Amis,,Toiwo,01.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 64,16,5,59.688,H 71,SE; NW,1; 7; 12,,>300m,,adjacent,± vertical rock,4,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
65,A 65,447421.046,7657354.057,1372.2936,Amis,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 65,6,5,100.1964,A 4,SW,1,,<300m,True,within shouting distance,± vertical rock,1,<15m,marginal,NA,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
66,A 66,447750.707,7657641.596,1473.2355,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 66,11,5,315.4121,A 65,N; SW,5; 6,,<300m,,within shouting distance,spacious,33,<3m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
67,B 1,461593.001,7658028.043,1609.4935,Sesaub / Basswaldrinne,,Viereck,29.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 1,8,5,1202.0347,B 4,S,5,,<300m,,adjacent,unfavourable,4,<15m,marginal,rather nice,European; Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
68,B 2,462045.244,7657600.184,1145.3821,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 2,35,4,135.322,B 3,S,1,,>300m,True,adjacent,unfavourable,3,>15m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
69,B 3,462405.886,7657291.689,1157.4396,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 3,14,5,135.322,B 2,E; W,5; 6; 8,,>300m,True,adjacent,unfavourable,9,<15m,marginal,poor,none,water run-off; vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
70,B 4,462955.422,7657552.851,1285.6968,Sesaub / Basswaldrinne,,Matheus,08.05.1984,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 4,85,3,176.1149,B 9,SE,1; 5; 7; 12,True,adjacent,True,adjacent,unfavourable; ± vertical rock,8,<15m,central,magnificent,European; Pager's Camp,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
71,B 5,462893.104,7657604.286,1092.709,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 5,111,3,61.3067,B 6,E; S,1; 2; 3; 4; 5; 12,,<300m,True,adjacent,unfavourable,0,>15m,marginal,rather nice,none,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
72,B 6,462436.503,7657260.475,1088.7046,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 6,26,4,61.3067,B 5,S,1; 5; 6; 12,,<300m,True,adjacent,unfavourable,4,<1m; <15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
73,B 7,462460.100,7657347.375,1096.6357,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 7,28,4,62.8281,B 6,S,1; 5; 6; 8; 12,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
74,B 8,460036.193,7657304.756,2040.9318,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 8,40,4,391.986,O 20,NE,5; 6; 8; 9; 10; 11,,>300m,True,within shouting distance,spacious,5,<3m,isolated,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
75,B 9,462199.966,7657275.140,1242.6226,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 9,65,3,85.1455,B 10,NE,1; 5; 6; 7; 8; 12,True,<300m,,<300m,spacious,15,<15m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
76,B 10,462060.797,7657720.211,1219.1706,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 10,138,3,85.1455,B 9,NE,1; 3; 4; 5; 6; 7; 8; 12,True,<300m,,within shouting distance,unfavourable,8,<3m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
77,C 1,446905.115,7664367.829,2139.8051,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 1,8,5,355.9791,I 71,W,1,,>300m,,>300m,± vertical rock,4,>15m,isolated,magnificent,none,none,none,none,none,none,none,none,none,none,none,
78,C 2,446395.307,7663121.218,2097.0501,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 2,81,3,143.4784,C 3,NE; NW,1; 4; 5,True,within shouting distance,True,adjacent,unfavourable; ± vertical rock,11,<15m,marginal,NA,none,water run-off,many,many,none,many,none,many,none,none,none,
79,C 3,446636.155,7663307.845,2093.8073,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 3,346,2,50.135,C 5,S,3; 4; 5; 8; 12,True,within shouting distance,True,within shouting distance,unfavourable,20,>15m,central,rather nice,Pager's Camp,none,few,few,few,none,none,none,none,none,none,
80,C 4,445111.971,7663687.569,2105.2244,Circus,,Paulus,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 4,26,4,220.1573,C 3,N,3; 5; 7; 9; 10,,<300m,True,within shouting distance,spacious,23,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,none,medium quantity,none,medium quantity,none,none,none,
81,C 5,446626.249,7663761.837,2089.4224,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 5,8,5,50.135,C 3,S,4; 5,,within shouting distance,True,adjacent,unfavourable,6,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
82,C 6,446758.130,7663038.340,2066.3146,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 6,13,5,93.9659,C 5,S,1,,<300m,True,within shouting distance,± vertical rock,3,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
83,C 7,445242.592,7663740.290,1885.8293,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 7,179,3,255.7655,C 8,NE; S; SW,5; 6; 8; 9; 11,,<300m,True,adjacent,spacious,9,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off; vegetation impact,many,many,many,many,none,many,none,none,Rillenstein; graues; kreidiges Material,
84,C 8,445463.750,7664949.252,1871.5514,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 8,55,4,75.7206,C 9,SW,3; 4; 5,True,adjacent,True,adjacent,unfavourable,5,>15m,marginal,rather nice,none,water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
85,C 9,445554.487,7664479.367,1866.3729,Circus,,Shipahu,20.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 9,20,4,75.7206,C 8,N,4,True,adjacent,True,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
86,C 10,445613.840,7664402.859,1835.7237,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 10,239,2,79.59,C 11,N; E,1; 5; 8; 10; 12,,<300m,True,adjacent,unfavourable,3,<15m,central,rather nice,none,disintegration of rock; water run-off; vegetation impact,many,many,many,many,none,none,none,none,none,
87,C 11,445498.435,7664979.327,1834.0505,Circus,,Roth,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 11,69,3,56.7022,C 12,N,1; 5; 10,,<300m,True,within shouting distance,spacious,6,<15m,central,rather nice; magnificent,none,water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
88,C 12,445936.263,7664547.217,1825.7481,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 12,141,3,45.2266,C 13,N,5; 6; 7; 8; 9; 10,,NA,,NA,spacious,2,<15m,marginal,rather nice,none,water run-off; vegetation impact,many,many,many,none,none,none,none,none,none,
89,C 13,445395.946,7664095.224,1818.8312,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 13,9,5,45.2266,C 12,NE,5,,>300m,,>300m,unfavourable,3,<3m,marginal,poor,none,disintegration of rock; water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
90,C 14,445034.820,7664418.658,2124.0157,Circus,,Shipahu,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 14,6,5,98.5457,C 16,E,1,,>300m,True,adjacent,± vertical rock,3,<15m,marginal,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,
91,C 15,445408.282,7664589.509,2093.5527,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 15,53,4,143.8256,C 14,E; W,1; 12,True,within shouting distance,True,within shouting distance,± vertical rock,5,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
92,C 16,445951.928,7664240.152,2116.3517,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 16,17,5,65.703,C 17,SW,5,,within shouting distance,True,adjacent,unfavourable,11,<15m,marginal,magnificent,Pager's Camp,none,few,few,few,few,none,none,none,none,none,
93,C 17,445280.925,7664692.929,2095.8974,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 17,2,6,65.703,C 16,S,4; 5,,<300m,,>300m,unfavourable,11,<1m,marginal,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,medium quantity,none,none,none,
94,C 18,445471.940,7664411.464,1963.0541,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 18,1,6,273.5861,C 19,N; S,5,,<300m,,>300m,spacious,18,<1m,marginal,rather nice,none,water run-off,few,few,few,none,none,few,none,none,none,
95,C 19,445968.421,7664458.190,1953.198,Circus,,Paulus,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 19,11,5,243.7344,C 11,SE,10,,>300m,,>300m,spacious,3,<3m,isolated,magnificent,none,water run-off,few,few,none,few,none,few,none,none,none,
96,C 20,445717.371,7665220.499,2006.013,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 20,206,2,87.6954,C 21,S; SW,5,True,<300m,,adjacent,unfavourable,10,<15m,marginal,magnificent,none,water run-off; wind erosion,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
97,C 21,445586.645,7665845.831,2005.0983,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 21,286,2,87.6954,C 20,S,1; 5; 12,True,<300m,True,adjacent,unfavourable,20,<15m,marginal,magnificent,none,water run-off,many,many,many,none,none,none,none,none,none,
98,C 22,444886.213,7665306.813,1971.8746,Circus,,Shipahu,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 22,72,3,205.9255,C 21,S,1; 3; 4; 5; 12,True,within shouting distance,True,adjacent,unfavourable,2,>15m,central,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,
99,C 23,444634.839,7665499.616,2002.7095,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 23,50,4,249.9569,C 22,S; W,1; 5; 12,,<300m,True,adjacent,spacious,32,<15m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
100,C 24,444786.711,7665945.425,1923.7367,Circus,,Paulus,17.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 24,8,5,240.1771,C 25,NE,5,True,adjacent,,within shouting distance,± vertical rock,0,<1m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
101,C 25,444996.874,7665096.261,1894.4041,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 25,15,5,206.3231,C 28,N,5,,<300m,True,adjacent,unfavourable,12,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
102,C 26,444851.807,7665038.199,1938.1208,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 26,16,5,174.4907,C 28,N,1,,<300m,,<300m,± vertical rock,8,>15m,marginal,rather nice,Pager's Camp,water run-off,none,none,none,none,none,none,none,none,none,
103,C 27,443162.971,7665242.761,1945.8164,Circus,,Paulus,16.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 27,16,5,152.8404,C 28,E,1,,within shouting distance,,<300m,± vertical rock,2,<3m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
104,C 28,444097.169,7665214.665,1908.6911,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 28,17,5,152.8404,C 27,S,5; 10,,<300m,,<300m,spacious,9,<3m,marginal,magnificent,none,none,few,few,none,few,none,none,none,none,none,
105,C 29,444760.763,7665543.629,1856.756,Circus,,Shipahu,20.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 29,15,5,185.6394,C 30,SE,4; 5,,<300m,True,within shouting distance,unfavourable,5,<15m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
106,C 30,444090.196,7664589.652,1856.7449,Circus,,Paulus,20.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 30,86,3,185.6394,C 29,N,3; 4; 5,True,within shouting distance,True,adjacent,unfavourable,3,>15m,marginal,rather nice,none,disintegration of rock,many,many,many,many,none,none,none,none,none,
107,C 31,443679.912,7664823.417,1653.6131,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 31,3,6,133.7814,C 32,E,1,,<300m,True,adjacent,± vertical rock,2,<3m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
108,C 32,443097.057,7664100.953,1661.5031,Circus,,Shipahu,27.08.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 32,22,4,47.4283,C 33,E,1; 5; 12,True,adjacent,,within shouting distance,unfavourable,10,<15m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
109,C 33,443308.735,7664123.683,1671.8773,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 33,13,5,47.4283,C 32,S,5,,within shouting distance,True,adjacent,unfavourable,2,<3m,central,rather nice,none,water run-off,many,many,many,none,none,many,none,none,none,
110,C 34,443304.909,7664211.402,1675.829,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 34,13,5,48.3033,N 182,N,5,,<300m,True,adjacent,unfavourable,10,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
111,C 35,443839.524,7664980.750,1681.3843,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 35,1,6,72.0088,C 33,S,5,,<300m,True,adjacent,spacious,22,<3m,marginal,rather nice,Pager's Camp,water run-off,few,few,few,none,none,none,none,none,none,
112,C 36,443995.127,7664330.321,1570.0663,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 36,87,3,167.6422,C 37,N; E,1; 12,,>300m,True,adjacent,± vertical rock,6,>15m,marginal,poor,Pager's Camp,none,few,few,none,few,none,none,none,none,none,
113,C 37,443519.016,7664257.779,1554.5325,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 37,61,3,167.6422,C 36,E; W,2; 5; 12,,>300m,True,adjacent,unfavourable,7,<15m,marginal,rather nice,European; buried cans + bottles in sub-recent; 0 m distance,water run-off,medium quantity,medium quantity,none,medium quantity,none,none,none,none,none,
114,D 1,444001.716,7659002.568,1528.9249,Dom,,Jipsen/ Camby?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 1,211,2,47.0408,A 55,W,5; 6; 12,,within shouting distance,,>300m,unfavourable,7,<15m,marginal,rather nice,none,none,many,many,many,many,none,none,none,none,none,
115,D 2,444454.753,7658427.061,1521.8643,Dom,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 2,18,5,110.283,A 54,NW,5,,within shouting distance,,>300m,unfavourable,3,<15m,marginal,rather nice,none,disintegration of rock,medium quantity,medium quantity,none,none,none,none,none,none,none,
116,D 3,443383.246,7659773.511,1448.0606,Dom,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 3,17,5,251.8889,D 1,W,5,,>300m,,>300m,spacious,17,<3m,isolated,rather nice,none,none,medium quantity,medium quantity,medium quantity,medium quantity,few,medium quantity,none,none,none,
117,D 4,443599.986,7659350.916,1417.9601,Dom,,Toiwo/ Shipahu,07.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 4,5,5,137.9925,D 5,W,5,,>300m,True,adjacent,unfavourable,18,<15m,marginal,rather nice,none,water run-off,many,many,none,none,none,none,none,none,none,
